向第三个中输入斯黛拉 {"command":"input_text","vindex":"三","text":"斯黛拉","mode":0}
给我打开第四十八个 {"command":"click","vindex":"四十八","mode":0}
向第五十七个尾部输入怎么还得他同意啊 {"command":"input_text","vindex":"五十七","text":"怎么还得他同意啊","mode":0}
输入怎么了到第六十个 {"command":"input_text","vindex":"六十","text":"怎么了","mode":0}
请向第五十七个中输入这是原则上的问题 {"command":"input_text","vindex":"五十七","text":"这是原则上的问题","mode":0}
查看第二十二个 {"command":"click","vindex":"二十二","mode":0}
帮我向第四十个尾部输入她算是那种女孩吗 {"command":"input_text","vindex":"四十","text":"她算是那种女孩吗","mode":0}
向第五十三个尾部输入我 {"command":"input_text","vindex":"五十三","text":"我","mode":0}
给我点击第四十三个 {"command":"click","vindex":"四十三","mode":0}
给我输入要不我们到第十三个 {"command":"input_text","vindex":"十三","text":"要不我们","mode":0}
请向第二十三个尾部添加你还当什么总监 {"command":"input_text","vindex":"二十三","text":"你还当什么总监","mode":0}
请查看第二十四个 {"command":"click","vindex":"二十四","mode":0}
帮我向下滑动第六个 {"command":"swipe","vindex":"六","direction":"下"}
给我打开第四十四个 {"command":"click","vindex":"四十四","mode":0}
第三十九个上滑 {"command":"swipe","vindex":"三十九","direction":"上"}
第四十二个左滑 {"command":"swipe","vindex":"四十二","direction":"左"}
帮我添加租房子需要一些开销到第二十三个 {"command":"input_text","vindex":"二十三","text":"租房子需要一些开销","mode":0}
向第二十八个中输入我又不是三岁小孩 {"command":"input_text","vindex":"二十八","text":"我又不是三岁小孩","mode":0}
添加是吗到第四十四个 {"command":"input_text","vindex":"四十四","text":"是吗","mode":0}
第二十七个往右 {"command":"swipe","vindex":"二十七","direction":"右"}
请下滑第五十三个 {"command":"swipe","vindex":"五十三","direction":"下"}
看下第四十一个 {"command":"click","vindex":"四十一","mode":0}
向第四十个尾部输入看着好像是要去见什么人 {"command":"input_text","vindex":"四十","text":"看着好像是要去见什么人","mode":0}
请把第一个向左滑 {"command":"swipe","vindex":"一","direction":"左"}
请向下滑动第九个 {"command":"swipe","vindex":"九","direction":"下"}
把第三十四个向上滑 {"command":"swipe","vindex":"三十四","direction":"上"}
给我向第五十三个中输入定价1块1毛5 {"command":"input_text","vindex":"五十三","text":"定价1块1毛5","mode":0}
帮我按一下第十六个 {"command":"click","vindex":"十六","mode":0}
请第二十二个点击 {"command":"click","vindex":"二十二","mode":0}
进入第十九个 {"command":"click","vindex":"十九","mode":0}
给我第二十二个往右 {"command":"swipe","vindex":"二十二","direction":"右"}
向第十五个尾部添加公司会酌情补偿 {"command":"input_text","vindex":"十五","text":"公司会酌情补偿","mode":0}
进入第二十个 {"command":"click","vindex":"二十","mode":0}
帮我把第二十六个向上滑 {"command":"swipe","vindex":"二十六","direction":"上"}
